"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"NPAT",1530.62332096298,1.17822428433839,0.126253338113509,4.28934751823074e-21,5.61597955762001e-20,"4863"
"AURKA",77.5545967528309,2.23125705729528,0.240896296250742,4.65645774507126e-21,6.07067267944722e-20,"6790"
"ZBP1",199.852790580633,3.95250455342639,0.434723287453126,4.65974135169158e-21,6.07126057086965e-20,"81030"
"TMEM156",74.4392438908876,4.27748194456289,0.46752107085912,4.93156486864886e-21,6.41762172615367e-20,"80008"
"AOAH",609.057092398068,2.20364287230325,0.240563075746966,5.2605945840042e-21,6.8127083818104e-20,"313"
"MPHOSPH9",597.007190162022,1.23177404753671,0.131912838369276,5.32353054392049e-21,6.88173885089553e-20,"10198"
"IL7R",1479.55432925698,3.04311786063844,0.334530737818851,5.32709288843022e-21,6.88219300046564e-20,"3575"
"GLA",491.120117199897,1.42590097515404,0.155984283111028,5.33117318963457e-21,6.88331535984565e-20,"2717"
"STARD4",248.372375138584,1.63018981045964,0.177908026819375,5.3477968619238e-21,6.90062192303508e-20,"134429"
"GZMA",201.7615128934,3.15288148918646,0.345874013138045,5.62070127211175e-21,7.21800421600786e-20,"3001"
"CLEC4A",214.827542892662,1.7648976762913,0.191361708676669,5.66086308722711e-21,7.26522626039154e-20,"50856"
"PAG1",1652.45054083258,1.59483357104819,0.172873409509424,5.84181788430617e-21,7.49297921689612e-20,"55824"
"ERMN",100.005400238273,2.35743539239458,0.255353151624335,5.84869643495693e-21,7.49731523268134e-20,"57471"
"EML4",2199.30177457861,1.42293688956498,0.153806805106912,6.02204321232336e-21,7.7056986369986e-20,"27436"
"SLC7A11",104.116569060708,2.67572197091214,0.291306151167915,6.11001941694069e-21,7.80894729655872e-20,"23657"
"ATP11C",1801.91501509478,1.21570508292937,0.131102076263248,6.28035706502777e-21,8.01708713369507e-20,"286410"
"FUT8",1335.05913928634,1.55109274268931,0.168491915388735,7.52541842544305e-21,9.5213868425337e-20,"2530"
"KLHL6",889.191085825932,2.26234993773948,0.247930203241403,7.60663978461578e-21,9.61280132686734e-20,"89857"
"MIR155HG",102.71408537268,2.74149345486137,0.299486108895108,7.67887594948703e-21,9.69265890608689e-20,"114614"
"EOGT",1138.01230101661,1.05300543811912,0.113250096972532,7.91721049463005e-21,9.97001013698037e-20,"285203"
"BIRC3",1991.5041231594,2.62613400975006,0.290024010458152,9.19720270810038e-21,1.15007961285132e-19,"330"
"7SK:ENSG00000260682",167.880381232342,2.22301179764461,0.241667007116937,9.22728220468914e-21,1.15316816030963e-19,NA
"NETO2",81.0083592887951,2.38580364304073,0.264732565624812,9.4666807650951e-21,1.18239725430235e-19,"81831"
"RASGRP1",340.990227828476,3.00469494430295,0.332299625840113,9.64535700748411e-21,1.20401244462089e-19,"10125"
"NUPL1",1463.95703072915,1.02694677985467,0.110828556275894,9.90703766973768e-21,1.23523873400516e-19,NA
"HPS5",1126.85398457009,1.20058819785979,0.130089771309304,1.00188491643298e-20,1.24845345429698e-19,"11234"
"TTK",68.6909049155118,2.77178088774299,0.306011796104958,1.05186717252084e-20,1.30845438819728e-19,"7272"
"BC065763",31.0554874864942,4.66244541764576,0.508627796072774,1.07195758445582e-20,1.33267209441076e-19,NA
"COPB1",3864.7743197851,1.05122806426484,0.113896029734346,1.17956006007073e-20,1.45882924220981e-19,"1315"
"HIST1H2BH",158.38079849175,2.99925875103774,0.340663664745628,1.20308159808837e-20,1.48620448944253e-19,NA
"CTBS",1180.06361075151,1.2704192747324,0.13827979244376,1.23051997967599e-20,1.51834972506595e-19,"1486"
"CD86",970.149198264686,2.03040185743901,0.223800330990986,1.24391153321902e-20,1.53222735008525e-19,"942"
"HIST1H2AL",106.019965846426,2.81599198758653,0.316155288112669,1.32539251869464e-20,1.62978415680907e-19,NA
"KIAA1524",233.795343637331,1.2874890136655,0.138757804233468,1.34693726401898e-20,1.65437858909563e-19,NA
"LMAN1",5035.99070508265,1.06337404544271,0.115407539219,1.35800921534012e-20,1.66702242338974e-19,"3998"
"IL2RG",378.81818526173,2.89978700087863,0.321294504182771,1.38286268892511e-20,1.69288688547471e-19,"3561"
"LILRA5",156.79788865918,2.41455319264698,0.267206094093187,1.52557955868782e-20,1.85782651598614e-19,"353514"
"RGS2",800.60609906054,2.02644024805465,0.223624709422962,1.54744472766535e-20,1.880180433563e-19,"5997"
"CD52",484.656529499765,3.00432994171215,0.334945701367119,1.75211695351836e-20,2.11805542384428e-19,"1043"
"LYPLA1",1100.61215419543,1.33651855632708,0.146354087877196,1.75912136123933e-20,2.12532402116362e-19,"10434"
"TNFAIP8",1007.10832813892,1.8913102826378,0.212017525773438,1.93148866082909e-20,2.3244018229955e-19,"25816"
